Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
سعادت‌آباد,118,1388,3,9200000000,77966000,1,0,1,1
مهرآباد جنوبی,42,1395,1,960000000,22857000,2,1,1,1
پاکدشت,60,1386,1,350000000,5833000,2,0,1,0
ستارخان,85,1381,2,2300000000,27059000,1,0,0,1
شمیران‌نو,65,1385,1,700000000,10769000,2,0,0,1
سعادت‌آباد,135,1387,2,8500000000,62963000,4,1,1,1
جوادیه,42,1390,1,570000000,13571000,3,0,0,1
تهرانپارس شرقی,41,1382,0,1060000000,25854000,0,0,0,1
میدان انقلاب,130,1370,3,3250000000,25000000,4,1,1,1
اقدسیه,130,1394,3,10300000000,79231000,6,1,1,1
استخر,93,1388,2,2100000000,22581000,3,1,1,1
ظفر,110,1385,2,5700000000,51818000,1,1,1,1
سلسبیل,38,1380,1,750000000,19737000,0,0,0,1
افسریه,80,1388,1,1030000000,12875000,1,0,0,1
ظفر,172,1385,3,9290000000,54012000,5,1,1,1
اقدسیه,54,1383,2,2970000000,55000000,1,0,1,1
مرزداران,83,1393,2,4000000000,48193000,3,1,1,1
زعفرانیه,150,1390,3,11250000000,75000000,1,1,1,1
مجیدیه,62,1395,2,1780000000,28710000,2,1,1,1
اوقاف,78,1390,2,1870000000,23974000,3,1,1,1
زعفرانیه,124,1386,2,9600000000,77419000,5,1,1,1
تهران‌سر,85,1400,2,2370000000,27882000,3,1,1,1
کوی فردوس,170,1400,3,9350000000,55000000,6,1,1,1
سیزده آبان,106,1385,2,1378000000,13000000,3,1,1,1
شهر زیبا,70,1391,2,2100000000,30000000,4,1,1,1
